22877	脑供血不足
D48.706	腹腔交界恶性肿瘤
D48.707	颊部交界恶性肿瘤
D48.708	盆腹腔交界性肿瘤
D48.709	盆腔交界恶性肿瘤
D48.710	其他特指部位交界恶性肿瘤
D48.711	躯干部交界恶性肿瘤
D48.009	颅骨交界性恶性肿瘤
D48.002	上肢骨交界恶性肿瘤
D48.003	下肢骨交界恶性肿瘤
D48.103	骶前结缔组织交界恶性肿瘤
D48.104	腹壁交界恶性肿瘤
D48.106	滑膜交界恶性肿瘤
D48.107	结缔组织及其他软组织交界性恶性肿瘤
D48.108	颈静脉交界恶性肿瘤
D48.109	软组织交界恶性肿瘤
D48.110	上肢结缔组织交界恶性肿瘤
D48.111	臀部结缔组织交界恶性肿瘤
D48.112	下肢结缔组织交界性恶性肿瘤
D48.301	腹膜后交界恶性肿瘤
D44.101	肾上腺交界恶性肿瘤
D44.301	垂体交界恶性肿瘤
D44.401	颅咽管交界恶性肿瘤
D48.723	腋下交界性恶性肿瘤
D48.724	指交界恶性肿瘤
D50.002	失血性贫血
D50.801	低色素性小细胞性贫血
D50.901	低色素性贫血
D50.902	缺铁性贫血
D51.901+	维生素B12缺乏性贫血性脊髓后侧索硬化
D48.401	肠系膜交界恶性肿瘤
D48.402	腹膜交界恶性肿瘤
D48.502	鼻部皮肤交界恶性肿瘤
D48.504	臂皮肤交界恶性肿瘤
D48.505	耳部皮肤交界恶性肿瘤
D48.506	皮肤交界恶性肿瘤
D48.507	躯干皮肤交界恶性肿瘤
D48.508	眼睑交界恶性肿瘤
D48.603	乳房交界恶性肿瘤
D48.701	背部交界恶性肿瘤
D48.702	臂交界恶性肿瘤
D48.703	骶前区交界恶性肿瘤
D52.001	大细胞性贫血
D52.101	药物致叶酸缺乏性贫血
D53.201	坏血病性贫血
D53.901	营养性贫血
D55.001	G6PD缺陷
D55.002	蚕豆病
D55.201	丙酮酸激酶缺乏性贫血
D56.001	α型地中海贫血
D56.101	库利氏贫血
D56.102	β型地中海贫血
D58.001	先天性溶血性贫血
D48.713	手交界恶性肿瘤
D48.714	腿部交界恶性肿瘤
D48.715	臀部交界恶性肿瘤
D48.716	腕部交界恶性肿瘤
D48.717	下肢交界恶性肿瘤
D48.718	心室交界恶性肿瘤
D48.719	胸壁交界恶性肿瘤
D48.720	眼交界恶性肿瘤
D48.721	眼眶交界恶性肿瘤
D58.002	遗传性球形红细胞症
D59.101	冷凝集素病
D59.102	自身免疫性溶血性贫血
D59.301	溶血-尿毒症性综合征
D59.401	非自体免疫性溶血性贫血
D59.402	感染性溶血性贫血
D59.403	继发性溶血性贫血
D59.601	运动性血红蛋白尿(行军性血红蛋白尿)
D59.902	急性溶血性贫血
D59.903	溶血性黄疸
D60.901	单纯红细胞再生障碍性贫血
D60.902	红细胞发育不伴胸腺瘤
D61.002	家族性再生不良性贫血
D61.003	先天性单纯红细胞再生障碍性贫血
D61.101	药物性再生障碍性贫血
D61.201	中毒性贫血
D61.801	继发性再生障碍性贫血
D68.206	纤维蛋白原缺乏
D68.301	第八因子抗体形成
D68.302	高肝素血症
D68.303	血循环中抗凝物质存在
D68.401	后天性凝血因子缺乏
D68.402	获得性维生素K依赖因子缺乏症
D68.403	免疫性凝血酶元减少
D68.901	出血倾向
D68.902	凝血时间延长
D69.001	变应性血管炎
D69.002	腹型过敏性紫癜
D69.003	关节炎性紫癫
D69.005+	过敏性紫癜性肾炎
D69.101	血小板病
D61.901	骨髓抑制
D61.902	骨髓抑制性贫血
D61.903	慢性再生障碍性贫血
D61.904	全血细胞减少
1391	再生障碍性贫血
D62.X01	急性出血性贫血
D64.301	铁粒幼红细胞性贫血
D64.401	先天性造血不良性贫血
D64.901	感染性贫血
D64.902	继发性贫血
904	贫血
D73.502	脾包膜下出血
D73.503	脾梗塞
D73.504	脾扭转
D69.201	单纯性紫癜
D69.202	老年性紫癜
D69.204	紫癜
D69.301	埃文斯综合征
D69.302	出血性紫癜
D64.904	肾性贫血
D64.905	婴儿贫血
D65.X03	纤维蛋白溶解[症]
D65.X04	坏疽性紫癜
D66.X01	第Ⅷ因子缺乏
D66.X02	血友病
D66.X03	A型血友病
D66.X04+	血友病性关节炎
D68.101	C型血友病
D68.202	凝血因子Ⅴ缺乏症
D68.203	凝血因子Ⅶ缺乏症
D68.204	凝血因子Ⅹ缺乏症
D68.205	先天性纤维蛋白原缺乏
D69.501	继发性血小板减少性紫癜
D69.502	继发性血小板减少症
D69.503	药物性血小板减少性紫癜
D69.504	药物性血小板减少症
D69.602	血小板减少症
D69.801	Kasabach-Merritt综合征
D69.802	血管性假血友病
98	白细胞减少症
D70.X02	急性粒细胞缺乏症
D70.X03	药物性粒细胞减少
D70.X04	中性白细胞减少性脾大
D72.001	网状组织发育不全
D72.101	反应性嗜酸细胞增多症
D72.102	嗜酸细胞增多症
D72.801	白细胞增多症
D72.802	白血病样反应
D72.803	单核细胞增多症
D72.804	浆细胞增多症
D72.805	淋巴细胞减少症
D72.806	淋巴细胞增多症
D73.001	非创伤性脾萎缩
D73.101	脾机能亢进
D73.201	慢性充血性脾大
D73.301	脾脓肿
D73.401	脾囊肿
D73.501	非创伤性脾破裂
D75.902	造血功能停滞
D76.001	肠嗜酸性肉芽肿
D76.002	肺嗜酸性肉芽肿
D76.003	骨嗜酸细胞性肉芽肿
D76.004	嗜酸细胞性肉芽肿
D76.006	颏下嗜酸性细胞增生性淋巴肉芽肿
D76.007	胃嗜酸性肉芽肿
D76.301	黄色肉芽肿
D76.303	组织细胞增多症
D76.304	组织细胞增生症X
D80.101	低丙种球蛋白血症
D80.901	免疫球蛋白缺乏
D80.902	体液免疫缺乏
D84.101	补体成分缺乏
D84.102	遗传性血管神经性水肿
D73.801	脾浆细胞性肉芽肿
D69.401	巨核细胞再生不良
D69.402	免疫性血小板减少性紫癜
D69.403	无巨核细胞性血小板减少性紫癜
D69.404	先天性血小板减少症
D69.405	血小板减少性紫癜
D69.406	原发性血小板减少性紫癜
D69.407	原发性血小板减少症
E05.501	甲状腺危象
E05.801	碘原性甲状腺机能亢进
D86.001	肺结节病
D86.101	良性淋巴肉芽肿
D89.001	多克隆高丙种球蛋白血症
D89.002	高球蛋白血症性紫癜
D89.201	高丙种球蛋白血症
D73.802	脾血肿机化
D73.803	脾周围炎
D73.901	脾占位性病变
D73.902	脾肿物
D74.001	先天性高铁血红蛋白血症
D75.001	家族性红细胞增多症
D75.101	一过性红细胞增多症
D75.102	继发性红细胞增多症
D75.201	血小板增多
D75.801	骨髓坏死
D75.802	骨髓外造血灶组织
D75.803	骨髓硬化
D75.804	骨髓增生
D75.805	化疗后骨髓抑制
D75.806	急性造血功能抑制
D75.807	继发性血小板增多症
D75.808	药物性骨髓抑制
D75.901	骨髓增生减低
E03.101	先天性甲状腺机能不全
E03.201	药物性甲状腺机能减退
E03.801	继发性甲状腺机能减退
E03.802	原发性甲状腺机能减退
E03.901	甲状腺机能减退
E03.902	粘液性水肿
E03.903+	甲状腺机能减退性肌病
587	甲状腺囊肿
E04.102	胸骨后甲状腺囊肿
E04.103	甲状腺结节
E04.801	青春期甲状腺肿
589	甲状腺肿
E04.902	结节性甲状腺肿
E04.903	胸骨后甲状腺肿
E04.904	胸骨后结节性甲状腺肿
E05.252	毒性结节性甲状腺肿
E05.004+	甲状腺机能亢进性突眼
E05.201	结节性甲状腺肿伴甲状腺机能亢进
E14.002	糖尿病性昏迷
E14.003	胰岛素昏迷
E14.101	糖尿病性酸中毒
E14.102	糖尿病性酮症
E14.103	糖尿病性酮症酸中毒
E14.201+	基-威氏综合征(毛细管间性肾小球硬化)
E14.202+	结节型糖尿病肾小球硬化
E14.203+	糖尿病性肾病
E14.301	糖尿病并眼部病变
E14.303+	糖尿病性白内障
E05.802	药物性甲状腺机能亢进
E05.803	原发性甲状腺机能亢进
E05.901	甲状腺机能亢进
E05.902+	肌无力综合征伴甲状腺机能亢进
E05.903+	甲状腺机能亢进性肝病
E05.904+	甲状腺机能亢进性心脏病
E05.905+	甲状腺机能亢进性肌病
E06.001	急性甲状腺炎
E06.102	亚急性甲状腺炎(德.奎尔万氏甲状腺炎)
E06.301	淋巴细胞性甲状腺炎
E06.302	桥本氏病
D89.901	POEMS综合征
E01.201	幼年期缺碘性甲状腺肿
E01.801	碘性甲状腺机能减退
E14.405+	糖尿病性神经病变
E14.406+	糖尿病性神经炎
E14.407+	糖尿病性植物神经紊乱
E14.408+	糖尿病性周围神经病
E14.501	糖尿病性坏疽
E14.502+	糖尿病性脑血管病变
E14.503+	糖尿病性周围血管病变
E14.601	糖尿病合并其他特指的并发症
E14.602	糖尿病性骨病
E14.603	糖尿病性皮肤病
E14.604	糖尿病性牙周病
E14.605	糖尿病性硬皮病
E06.501	甲状腺炎性包块
E06.502	慢性甲状腺炎
E07.001	高降钙素血症
E07.101	激素障碍性甲状腺肿
E07.801	甲状腺出血
E07.802	甲状腺钙化
E07.803	甲状腺激素不敏感综合征(T4抵抗综合征)
E07.804	甲状腺肿物
E07.805	手术后甲状腺瘘
E10.901	胰岛素依赖型糖尿病
E11.901	非胰岛素依赖型糖尿病
E13.901	肝性糖尿病
E13.902	继发性糖尿病
E13.903	类固醇性糖尿病,正确用药所致
E14.606	糖尿病性足病
E14.607+	糖尿病性大疱病
E14.608+	糖尿病性神经原性膀胱
E14.609+	糖尿病性夏科氏关节病
E14.610+	糖尿病性心脏病
E14	糖尿病
E15.X01	低血糖性昏迷
E16.101	反应性低血糖症(餐后低血糖症)
E16.102	高胰岛素血症
E16.201	低血糖症
E16.801	促胃液素分泌异常
E16.802	高胃泌素血症
E16.901	胰岛细胞增生症
E20.001	原发性甲状旁腺机能减退
E20.102	假性甲状旁腺机能减退
E20.801	继发性甲状旁腺机能减退
E20.901	甲状旁腺机能减退
E20.902	甲状旁腺性手足搐搦
E20.903+	低钙性白内障,于甲状旁腺机能减退
E14.304+	糖尿病性视网膜病
E14.305+	糖尿病眼漏
E14.402+	糖尿病性单神经病
E14.403+	糖尿病性多神经病
E14.404+	糖尿病性肌萎缩
E23.604	垂体钙化
E23.605	垂体管囊肿
E23.606	垂体囊肿
E23.607	垂体脓肿
E21.001	甲状旁腺增生
E21.002	上肢骨囊性纤维性骨炎
E21.003	下颌骨囊性纤维性骨炎
E21.004	下肢骨囊性纤维性骨炎
E21.005	原发性甲状旁腺机能亢进
E21.101	继发性甲状旁腺机能亢进
E21.401	甲状旁腺出血
E21.402	甲状旁腺囊肿
E22.002	生长激素生成过多
E22.003	肢端肥大症
E22.101	高泌乳素血症
E22.201	抗利尿激素分泌异常综合征
E22.901	垂体机能亢进
E23.001+	垂体机能减退性肌病
E23.003	产后垂体坏死(席汉氏病)
E23.004	席汉氏综合征(产后垂体机能不全综合征)
E23.006	垂体功能低下
E23.007	垂体机能减退
E23.008	垂体前叶机能减退
E23.009	垂体前叶机能减退危象
E24.101	纳尔逊氏综合征
E24.201	药物性皮质醇增多症,正确用药
E24.202	类库欣综合征
E25.001	11-羟化酶缺陷
E25.002	17-羟化酶缺陷
E25.003	21-羟化酶缺陷
E25.004	男性肾上腺增生性性早熟
E25.005	女性男性化
E25.006	先天性肾上腺皮质增生
E25.007	早熟性巨睾症
E25.801	假性性早熟
E25.051	女性肾上腺性假两性畸形
E25.901	肾上腺性征综合征
E23.010	垂体性侏儒
E23.011	孤立性促性腺激素缺乏
E23.012	全垂体机能减退
E23.013	生长激素缺乏症
E23.014	停经泌乳综合征
E23.201	脑外伤后尿崩症
E23.202	尿崩症(垂体性尿崩症)
E23.301	垂体机能不良
E23.302	下丘脑综合征
E23.601	鞍区病变
E23.602	垂体疤痕形成
E23.603	垂体出血
E30.102	真性性早熟
E31.001	施密特氏综合征(甲状腺-肾上腺皮质的)
E31.901	多发性内分泌腺病
E26.101	继发性醛固酮增多症
E26.802	高肾素性醛固酮增多症
E27.001	肾上腺皮质机能亢进
E27.201	阿狄森氏病危象
E27.202	肾上腺皮质危象
E23.608	垂体炎
E23.609	垂体性肥胖
E23.610	垂体增大
E23.611	下丘脑性肥胖
E23.612	垂体肿物
E23.613	垂体卒中
E23.614	蝶鞍扩大
E23.615	反馈性垂体瘤综合征
E23.617	间脑综合征
E23.618	空泡蝶鞍综合症
E24.001	垂体促肾上腺皮质激素分类过多
E24.002	促肾上腺皮质激素生成过多
E24.003	垂体性嗜碱细胞增生
E27.405	肾上腺皮质萎缩
E27.801	肾上腺囊肿
E27.802	肾上腺脓肿
E27.803	肾上腺皮质增生
E27.804	肾上腺炎
E27.805	肾上腺增生
E27.806	肾上腺肿块
E27.807	肾上腺肿物
E28.001	雌激素过多症
E28.201	多囊卵巢综合征(斯-利二氏综合征)
E28.301	早发绝经
E28.302	卵巢功能减退
E28.303	卵巢衰竭
E28.304	卵巢早衰
E28.305	女性性腺功能低下
E28.801	卵巢过度刺激综合征
E29.102	男性性腺功能低下
E29.103	原发性睾丸机能减退
E29.801	幼稚型睾丸
E30.001	第二性征发育不全
E30.004	幼稚型子宫
E30.101	性早熟
E45.X01	营养不良性发育缓慢
E46.X01	蛋白缺乏
E46.X02	低蛋白性营养不良
E46.X03	营养不良
E50.001+	维生素A缺乏合并结膜干燥病
E50.401+	维生素A缺乏合并角膜软化
E50.501+	维生素A缺乏合并夜盲症
E50.601+	维生素A缺乏合并角膜干眼瘢痕
E50.701+	维生素A缺乏合并干眼症
E50.801+	维生素A缺乏合并皮肤干燥病
E50.901	维生素A缺乏
E51.101	脚气病
E51.102+	糙皮病性多神经病
E51.103+	脚气病性多神经炎
E51.104+	脚气病性心脏病
E52.X02	酒精性糙皮病
E32.001	先天性胸腺肥大
E32.002	胸腺增生
E32.101	胸腺脓肿
E32.801	胸腺淋巴体质
E27.401	假性低醛固酮血症
E27.402	肾上腺出血
E27.403	肾上腺坏死
E27.404	肾上腺皮质机能减退
E67.301	维生素D过多症
E70.101	苯丙酮尿症
E70.102	苯酮尿症
E70.103	高苯丙氨酸血症
E70.201	高酪氨酸血症
E70.202	褐黄病
E53.101	维生素B6缺乏
E52.X03	眼睑蜀黍红斑(睑糙皮病)
E32.802	胸腺囊肿
E32.803	胸腺萎缩
E32.804	胸腺咽管瘘
E34.001	类癌综合征
E34.301	家族性身材矮小
E34.302	侏儒症
E34.303	体质性矮小
E34.304	原基性侏儒
E34.502	男性假两性畸形伴有睾丸女性化
E34.801	松果体功能障碍
E34.802	早老症
E34.901+	内分泌性肌病
E41.X01	消瘦
E43.X02	营养性水肿
E44.001	中度营养不良
E44.101	轻度营养不良
E53.805+	脊髓后侧索硬化
E53.806+	达-普综合征(脊髓后侧索综合征,亚急性)
E53.808+	维生素B12缺乏性周围神经病
E53.809+	亚急性联合病变
E53.902+	维生素缺乏性周围神经病(B)
E54.X01	坏血病
E55.001	佝偻病
E55.901	维生素D缺乏
E55.902	维生素D缺乏性手足搐搦症
E56.001	维生素E缺乏
E56.101	维生素K缺乏
E56.801	维生素P缺乏
E56.902+	维生素缺乏性多神经炎
E63.901+	营养缺乏性多神经炎
E63.902+	营养性周围神经病
E65.X01	脂肪垫
E67.001	维生素A过多症
E67.101	高胡萝卜素血症
E74.201	半乳糖血症
E74.801	肾性糖尿病
E75.101	神经节苷脂沉积病
E75.202	脑白质营养不良
E75.204	异染性脑白质营养不良
E75.501	黄色瘤
E75.502	幼年性黄色瘤
E75.503	原发性家族性黄瘤病
E75.601	脂贮积病
E75.602+	全身性脂沉积症性大脑变性
E75.603+	脂质沉积性肌病
E76.301	粘多糖贮积病
E76.302+	粘多糖贮积性心脏病
E70.203	酪氨酸代谢(紊乱)症
E70.204	酪氨酸尿症
E70.301	白化病
E70.302	眼白化病
E71.001	槭糖尿病
E71.101	丙酸血症
E71.301	肾上腺脑白质营养不良
E53.801	维生素B12缺乏
E53.802	叶酸缺乏
E53.803+	侧索联合变性病
E53.804+	达纳-普特南氏综合征(脊髓后侧索综合征)
E78.201	扁平黄瘤
E78.501	高脂血症
E78.502	视网膜脂血症
E78.601	棘红细胞(增多)症
E78.801	脂肪肉芽肿病
E78.901	骨软骨营养不良
E79.001	高尿酸血症
E72.002	甘氨酸尿症
E72.003	胱氨酸尿症
E72.201	高氨血症
E72.901	高氨基酸尿症
E72.902	氨基酸尿
E72.903	低氨基酸血症
E74.002	糖原贮积病
E74.003+	糖原性心肥大
E74.004+	糖原贮积病肌病
E74.005+	心脏糖原贮积病
E80.602	肝炎后高胆红素血症
E83.003	铜代谢紊乱
E83.004+	肝豆状核变性痴呆
E83.101	血色病
E83.102	血色病性心肌病
E83.103+	肺含铁血黄素沉积症
E83.104+	肝含铁血黄素沉积症
E83.105+	特发性肺含铁血黄素沉积症
E83.302	低磷血症
E83.303	高磷尿症
E83.306	磷代谢紊乱
E83.308+	维生素D依赖性佝偻病
E83.501	低钙血性惊厥
E78.001	高胆固醇血症
E78.002	家族性高胆固醇血症
E87.303	呼吸性碱中毒
E87.304	碱中毒
E87.401	混合性酸碱平衡失调
E87.601	低钾性抽搐
176	低钾血症
E87.701	水中毒
E83.502	低钙血症
E83.503	钙代谢紊乱
E85.001	家族性地中海热
E85.002	周期热
E85.401	膀胱淀粉样病变
E85.402	喉淀粉样变性
E85.403	睑淀粉样变
E85.404	脾淀粉样变性
E85.405	上呼吸道淀粉样变性
E85.406	咽淀粉样变
E85.407+	鼻咽淀粉样变性
E85.408+	淀粉样变性性周围神经病
E85.409+	皮肤淀粉样变性
E85.410+	肾淀粉样变性
E85.411+	肾脏淀粉样变性
E88.203	脂肪过多症
E88.801	霍法氏综合征(髌骨后脂肪垫综合征)
E88.802	饥饿性酮症
E88.803	酮症
E88.901+	代谢性白内障
E88.902+	代谢性骨病
E88.903+	代谢性脊髓病
E88.904+	代谢性心肌病
E89.001	放射治疗后甲状腺机能减退
E89.002	手术后甲状腺机能减退
E89.101	手术后低胰岛素血症
E89.102	手术后胰腺外分泌功能不全
E89.201	甲状旁腺缺失性手足搐搦
E89.202	手术后甲状旁腺机能减退
E89.301	手术后垂体机能减退
E89.302	医原性垂体障碍
E86.X01	低血容量
E87.001	高钠血症
E87.201	代谢性酸中毒
E87.202	高血氯性酸中毒
E87.203	呼吸性酸中毒
E87.204	混合性酸中毒
E87.205	乳酸性酸中毒
E87.206	酸中毒
E87.301	代谢性碱中毒
F07.001	顶叶综合征
F07.002	额叶综合征
F07.101	脑炎后综合征
F07.102	颅内感染所致精神障碍
E89.401	放射后卵巢衰竭
E89.402	手术后卵巢衰竭
E89.501	继发性睾丸机能减退(操作后)
E89.502	手术后睾丸机能减退
E89.801	血透后失衡综合征
E89.802	手术后尿崩症
F01.901	动脉硬化性痴呆
F01.902	动脉硬化性精神病
22897	痴呆
F03.X02	老年精神病态
E87.801	低氯血症
E87.802	电解质紊乱
E87.803	高氯血症
E87.804	三低(低钾、钠、氯)综合征
E88.001	高蛋白血症
E88.101	部分性脂肪营养不良
E88.103	全身性脂肪营养不良
E88.202	脂肪堆积
F03.X06	器质性痴呆
F03.X07	早老性痴呆
F05.901	感染性精神病
F06.801	感染后器质性精神病
F06.802	甲亢性精神病
F06.901	肠伤寒所致的精神障碍
F06.902	胆道感染所致的精神障碍
F06.903	胆道术后精神障碍
F06.904	低血糖所致的精神障碍
F06.905	肺结核所致的精神障碍
F06.906	肺气肿所致的精神障碍
F06.907	肺炎所致的精神障碍
F06.908	肝硬化所致的精神障碍
F06.909	感冒所致的精神障碍
F06.910	高烧致精神障碍
F06.911	高血压所致的精神障碍
F06.912	过敏性紫癜所致的精神障碍
F06.913	甲状腺机能亢进所致的精神障碍
F06.914	疟疾所致的精神障碍
F06.915	肾炎所致的精神障碍
F06.916	细菌性痢疾所致的精神障碍
F06.917	心脏病所致的精神障碍
F06.918	营养不良所致的精神障碍
F06.919	有害气体中毒后精神障碍
F06.920	中暑伴发精神障碍
F19.502	阿的平中毒致精神障碍
F19.503	合霉素中毒致精神障碍
F19.504	考的松中毒致精神障碍
F19.505	眠尔通中毒致精神障碍
F19.506	药物性幻觉
F19.507	药物性精神病
F19.508	药物中毒致精神障碍
F20.001	妄想型精神分裂症
F20.101	青春型精神分裂症
F20.201	紧张型精神分裂症
F20.601	单纯型精神分裂症
F20.901	精神分裂症
F20.902	精神分裂症性精神病
F21.X01	潜伏性精神分裂症
F22.001	偏执性精神病
F22.004	妄想狂
F22.003	妄想状态
F22.801	更年期妄想狂样状态
F23.901	反应性精神病
F07.103	脑膜炎后精神障碍
F07.104	脑炎后精神障碍
F07.202	颅脑外伤所致的精神障碍
F07.203	脑损伤后人格障碍
F07.204	脑外伤后综合征
F07.205	脑震荡后综合征
F07.801	一氧化碳中毒致精神障碍
F44.601	癔病性耳聋
F44.602	癔病性失明
F44.802	精神错乱(心因性)
F44.803	癔病性童样痴呆
F44.804	癔症性睡梦状态
F44.901	癔病性精神障碍
F25.201	周期性精神病
F25.901	情感分裂症
F07.802	脑血管病所致的精神障碍
F09.X01	脑病性精神病
F09.X02	脑器质性精神病
F09.X03	器质性精神病
F10.001	急性酒精中毒
F10.002	酒精中毒
F10.201	酒瘾综合症
F10.202	慢性酒精中毒
F10.501	酒精性精神病
F10.502	酒精中毒致精神障碍
F11.201	杜冷丁药物瘾
F11.202	吗啡型药物瘾
F11.203	镇痛药物瘾
F13.201	安眠药物瘾
F19.201	A.P.C药物瘾
F19.202	药物瘾
F19.501	A.P.C中毒致精神障碍
F30.201	躁狂型精神病
F30.801	兴奋型精神病
F30.901	老年性躁狂病
F31.201	躁狂抑郁性精神病当前为躁狂相
F31.901	躁狂抑郁性精神病
F32.301	抑郁性精神病
F32.801	更年期忧郁症
F32.901	精神抑郁症
F32.902	抑郁症
F32.903	抑郁状态
F33.201	躁狂抑郁性精神病当前为抑郁相
F34.001	情感性人格障碍
F39.X01	情感性精神病
F41.101	焦虑型神经官能症
F41.102	焦虑状态
F41.201	焦虑性抑郁症
F42.001	强迫观念
F42.002	强迫性神经症
F44.401	癔病性截瘫
F44.402	癔病性失音
F44.403	癔病性瘫痪
F44.404	癔病性麻痹
F44.405	癔病痉挛发作
F44.501	癔病性抽搐
F48.901	脑外伤后神经官能症性反应
F48.903	神经官能症
F50.001	神经性厌食
F50.501	神经性呕吐
F52.001	性欲缺失
F52.401	早泄
F54.X01	皮肤塬着病
F59.X01	精神原性多饮
F60.101	精神分裂样人格
F71.901	智力低下,智商 35-49
F79.901	智力(精神)发育迟缓
F79.902	智力低下
F45.301	肠神经官能症
F45.302	功能性咳嗽
F45.303	换气过度综合征
F44.903	癔症性精神病
F29.X01	精神病
F29.X02	精神错乱
G04.901	非特异性脑炎
G04.902	化脓性脑室炎
F80.201	发育性失语
F80.202	感觉性失语
F81.001	发育性诵读困难
F84.002	婴儿性孤独癖
F84.501	儿童性精神分裂症
F90.901	多动症
F95.201	多动秽语综合征
F95.801	眨眼症
F45.304	吞气症
F45.305	胃肠神经官能症
F45.307	心血管性神经官能症
F45.308	心脏神经官能症
F45.801	功能性肌无力
F45.802	功能性吞咽困难
F45.803	精神性多饮
F45.804	精神原性痛经
F45.805	皮肤神经官能症
F48.001	疲劳综合征
F48.801	精神衰弱
F48.802	脑心综合征
F48.803	书写痉挛症
F95.901	抽搐
F95.902	面肌抽搐
F98.801	手淫
F99.X02	气功致精神障碍
G00.801	变形杆菌性脑膜炎
G00.901	化脓性脑膜炎
G00.902	细菌性脑膜炎
G00.903	新生儿化脓性脑膜炎
G03.101	慢性脑膜炎
G04.852	癌性脑膜炎
G03.901	耳源性脑膜炎
G03.902	脊髓蛛网膜炎
G03.903	局限性脑膜炎
G03.904	颅底蛛网膜炎
G03.905	脑膜炎
G03.906	蛛网膜炎
G04.001	急性播散性脑脊髓炎
G04.002	急性播散性脑炎
G04.003	疫苗接种后脑炎
G04.201	化脓性脑膜脑炎
G04.801	变态反应性脑炎
G04.802	反应性脑膜炎
G04.804	化脓性脊髓炎
G04.805	化学性脑膜炎
G06.006	脑脓肿
G06.007	脑肉芽肿
G06.008	小脑脓肿
G06.101	硬脊膜外脓肿
G06.102	椎管内脓肿
G06.201	硬膜外脓肿
G06.202	硬膜下脓肿
G06.203	硬膜下炎性肉芽肿
G08.X01	侧窦栓塞
G08.X02	海绵窦血栓形成
G08.X03	海绵窦血栓性静脉炎
G08.X04	海绵窦炎
G04.903	急性脊髓炎
G04.904	急性神经根脊髓炎
G04.905	脊髓神经根病
G04.906	脊髓神经根炎
G04.907	脊髓炎
G04.908	局限性脑炎
G04.909	局灶性脑炎
G04.910	脑干脑炎
G04.911	脑脊髓神经根神经炎
G04.912	脑脊髓炎
G04.913	脑膜脑炎
G04.914	脑室炎
G04.915	脑性发热
G04.916	脑炎
G04.917	脑炎性假瘤
G04.918	脑炎性肿块
G08.X11	乙状窦栓塞
G08.X12	乙状窦血栓性静脉炎
G09.X01	脊髓炎后遗症
G09.X02	脑炎后遗症
G11.101	弗里德赖希氏共济失调
G11.401	遗传性痉挛性截瘫
G11.901	共济失调综合征
G11.903	小脑共济失调
G11.904	遗传性共济失调
G11.905	原发性小脑变性
G04.919	散发性脑炎
G04.920	上行性脊髓炎
G04.923	室管膜炎
G04.924	小脑炎
G04.925	中枢神经系统感染
G06.001	侧窦周围脓肿
G06.002	耳源性脑脓肿
G06.003	颅内感染
G06.004	颅内脓肿
G06.005	颅内炎性肉芽肿
G31.102	老年性脑萎缩
G31.201	慢性酒精中毒性神经系统损害
G31.202	酒精中毒性脑病
G31.801	脊髓变性
G12.201	肌萎缩侧索硬化
G12.202	继发性侧索硬化
G12.203	假性球麻痹
G12.204	进行性核上性麻痹
G12.206	进行性脊髓性肌萎缩
G57.253	进行性球麻痹
G12.208	原发性侧索硬化
G12.209	运动神经元变性病
G12.210	运动神经元病
G20.X01	帕金森叠加综合征
896	帕金森氏病
G08.X06	硬脑膜横窦血栓形成
G08.X07	颅内静脉窦非化脓性血栓形成
G08.X08	颅内静脉窦静脉炎
G08.X09	颅内静脉窦血栓形成
G08.X10	上矢状窦血栓形成
G31.908	神经系统变性病
G31.909	小脑变性
G31.910	小脑萎缩
G31.911	婴儿进行性大脑变性
G24.101	扭转痉挛
G24.301	痉挛性斜颈
G24.401	口面运动障碍
G24.501	眼睑痉挛
G24.901	肌紧张异常
G25.001	良性特发性震颤
G25.301	肌阵挛
G25.501	偏身舞蹈病
G25.502	舞蹈病
G25.503	舞蹈样手足搐动症
G25.504	小舞蹈病
G25.801	不安腿综合征
G25.802	进行性苍白球萎缩
G25.803	纹状体综合征
G25.901	基底节病变
G25.902	神经节(基底神经节,脑)综合征
G25.903	锥体外系疾病
G30.904	阿耳茨海默氏病(早老性痴呆)
G31.101	老年性脑变性
G40.104	局灶性癫痫
G40.201	精神运动性癫痫
G40.202	颞叶性癫痫
G40.301	发作性肌阵挛
G40.302	混合型癫痫
G40.305	进行性肌阵挛性癫痫
G40.306	强直性癫痫
G40.307	强直-阵挛性癫痫
G40.308	全身性非惊厥性癫痫
G40.309	全身惊厥性疾病
G40.310	阵挛性癫痫
G40.401	婴儿性痉挛
G40.501	继发性癫痫
G40.801	反射性癫痫
G40.803	内脏性癫痫
G40.804	症状性癫痫
G31.802	亚速尔病(Azorean Disease)
G31.901	大脑变性
G31.902	多神经系统变性
G31.903	儿童期脑萎缩
G31.854	脊髓小脑变性
G31.905	末稍神经退行性改变
G31.906	脑萎缩
G31.907	皮质延髓小脑萎缩
G51.101	膝状神经节炎
G51.301	面肌痉挛
G51.802	面神经炎
G40.805	植物神经性癫痫
G40.901	癫痫
G40.902	间脑性癫痫
G41.001	癫痫大发作状态
G41.101	癫痫失神状态
G41.102	癫痫小发作状态
G31.912	中枢神经系统变性
G35.X01	多发性硬化
G35.X02+	多发性硬化性痴呆
G37.001	弥漫性硬化
G37.002	谢德尔氏病(弥漫性轴周性脑病)
G37.301	急性横贯性脊髓炎
G37.302	脊髓横贯性损害
