ICD10编码	ICD10副编码	ICD10名称	拼音助剂码
H18.002		角膜黑变病	JMHBB
H18.003		角膜血染	JMXR
H18.101		大泡性角膜病	DPXJMB
H18.201		角膜水肿	JMSZ
H18.401		角膜变性	JMBX
H18.402		角膜带状变性	JMDZBX
H18.403		角膜角化病	JMJHB
H18.404		角膜软化	JMRH
H18.405		老年环	LNH
H18.501		家族性遗传性角膜变性	JZXYCXJMBX
H18.502		角膜营养不良	JMYYBL
H18.601		圆锥形角膜	YZXJM
H18.701		角膜后弹力层膨出	JMHDLCPC
H18.702		角膜葡萄肿	JMPTZ
H18.703		球形角膜	QXJM
H18.801		角膜干燥症	JMGZZ
H18.802		角膜内皮失代偿	JMNPSDC
H57.801		假性白内障	JXBNZ
H57.802		眼动脉动脉瘤	YDMDML
H57.803		眼眶综合征	YKZHZ
H57.804		眼球旁囊肿	YQPNZ
H57.805		眼缺血综合征	YQXZHZ
H59.801		手术后虹膜嵌顿	SSHHMQD
H59.802		手术后虹膜脱出	SSHHMTC
H59.803		眼球摘除术后穹窿狭窄	YQZCSHQLXZ
H60.001		外耳道疖	WEDJ
H60.002		外耳脓肿	WENZ
H60.101		耳廓蜂窝织炎（耳廓化脓性软骨膜炎）	EKFWZYEKHNXR
H60.301		出血性外耳炎	CXXWEY
H60.302		耳廓感染	EKGR
H60.303		耳廓瘘感染	EKLGR
H60.304		耳廓软组织感染	EKRZZGR
H60.305		外耳道炎(弥漫性外耳道炎)	WEDY
H60.306		外耳继发性感染	WEJFXGR
H60.401		耳廓肉芽肿	EKRYZ
H60.402		外耳道胆脂瘤	WEDDZL
H60.403		外耳道肉芽肿	WEDRYZ
H60.501		急性外耳道炎	JXWEDY
H60.502		外耳道湿疹	WEDSZ
H60.801		慢性外耳道炎	MXWEDY
H60.901		外耳道炎	WEDY
H60.902		外耳炎	WEY
H61.001		耳廓软骨膜炎	EKRGMY
H61.101		耳廓瘢痕	EKBH
H61.102		后天性耳廓畸形	HTXEKJX
H61.103		耳廓瘘	EKL
H61.104		后天性外耳畸形	HTXWEJX
H61.105		烧伤后耳廓缺损	SSHEKQS
H61.106		烧伤后小耳畸形	SSHXEJX
H61.201		耵聍栓塞	DNSS
H61.301		后天性外耳道狭窄	HTXWEDXZ
H61.302		烧伤后外耳道狭窄	SSHWEDXZ
H61.801		耳道瘘	EDL
H61.802		后天性外耳道闭锁	HTXWEDBS
H61.803		耳的瘘管	EDLG
H61.804		烧伤后外耳道闭锁	SSHWEDBS
H61.805		外耳道瘢痕	WEDBH
H61.806		外耳道骨疣	WEDGY
H61.807		外耳道坏死	WEDHS
H61.808		外耳道囊肿	WEDNZ
H61.809		外耳道外生骨疣	WEDWSGY
H61.901		耳廓肿物	EKZW
H65.001		急性浆液性中耳炎	JXJYXZEY
H65.101		急性变应性中耳炎	JXBYXZEY
H65.102		急性卡他性中耳炎	JXKTXZEY
H65.103		蓝鼓膜综合征	LGMZHZ
H65.201		慢性卡他性中耳炎	MXKTXZEY
H65.301		慢性分泌性中耳炎	MXFMXZEY
H65.401		慢性渗出性中耳炎	MXSCXZEY
H65.901		分泌性中耳炎	FMXZEY
H65.902		卡他性中耳炎	KTXZEY
H65.903		渗出性中耳炎	SCXZEY
H66.001		急性化脓性中耳炎	JXHNXZEY
H66.301		慢性化脓性中耳炎	MXHNXZEY
H66.401		化脓性中耳炎	HNXZEY
H66.901		残余性中耳炎	CYXZEY
H66.902		急性中耳炎	JXZEY
H66.903		慢性中耳炎	MXZEY
H66.904		遗迹性中耳炎	YJXZEY
H66.905		中耳炎	ZEY
H66.906		新生儿中耳炎	XSEZEY
H68.001		咽鼓管炎	YGGY
H68.101		咽鼓管梗阻	YGGGZ
H68.102		咽鼓管狭窄	YGGXZ
H69.001		咽鼓管开放症	YGGKFZ
H69.801		咽鼓管的其他疾患	YGGDQTJH
H70.001		耳后脓肿	EHNZ
H70.002		急性出血性乳突炎	JXCXXRTY
H70.003		急性化脓性乳突炎	JXHNXRTY
H70.004		急性坏死性乳突炎	JXHSXRTY
H70.005		急性乳突炎	JXRTY
H70.006		颞骨骨膜下脓肿(贝佐尔德氏脓肿)	NGGMXNZ
H70.007		乳突脓肿	RTNZ
H54.401		单眼盲	DYM
H54.501		单眼视力下降	DYSLXJ
H55  01		先天性眼球震颤	XTXYQZC
H55  02		眼球震颤	YQZC
H57.001		瞳孔散大	TKSD
H57.002		艾迪氏综合征(瞳孔)	ADSZHZ
H57.003		虹膜麻痹	HMMB
H57.101		眼部痛	YBT
H57.102		眼眶痛	YKT
H70.101		耳后瘘管	EHLG
H70.102		慢性化脓性乳突炎	MXHNXRTY
H70.103		慢性乳突炎	MXRTY
H70.104		乳突骨疽	RTGJ
H70.105		乳突瘘	RTL
H70.106		手术后耳后瘘	SSHEHL
H71  01		中耳肉芽肿	ZERYZ
H71  02		鼓室胆脂瘤	GSDZL
H71  03		胆脂瘤性中耳炎(慢性化脓性中耳炎胆脂瘤)	DZLXZEY
H71  04		乳突胆脂瘤	RTDZL
H71  05		原发性乳突胆脂瘤	YFXRTDZL
H71  06		中耳胆脂瘤	ZEDZL
H72.901		创伤性鼓膜穿孔	CSXGMCK
H72.902		鼓膜穿孔	GMCK
H73.001		大疱性鼓膜炎	DPXGMY
H73.002		急性鼓膜炎	JXGMY
H73.101		慢性鼓膜炎	MXGMY
H73.102		肉芽性鼓膜炎	RYXGMY
H73.801		鼓膜萎缩	GMWS
H73.802		鼓膜炎	GMY
H73.803		鼓室炎	GSY
H73.804		鼓室粘连	GSZL
H73.805		血鼓室	XGS
H74.001		鼓室硬化症	GSYHZ
H74.101		粘连性中耳炎	ZLXZEY
H74.201		听骨链中断	TGLZD
H74.202		听骨脱位	TGTW
H74.301		后天性听骨畸形	HTXTGJX
H74.302		听骨固定	TGGD
H74.401		中耳息肉	ZEXR
H74.801		陈旧性中耳炎	CJXZEY
H74.802		慢性化脓性中耳炎骨疡型(肉芽型)(坏死	MXHNXZEYGY
H74.803		慢性化脓性中耳炎伴肉芽肿	MXHNXZEYBR
H74.804		中耳瘘	ZEL
H80.101		耳硬化症伴圆窗闭塞	EYHZBYCBS
H80.901		耳硬化症	EYHZ
H81.001		梅尼埃病(内淋巴[迷路]积水)	MNAB
H81.101		发作性眩晕	FZXXY
H81.201		前庭神经元炎	QTSJYY
H81.301		耳源性眩晕	EYXXY
H81.302		前庭性眩晕	QTXXY
H81.303		周围前庭眩晕	ZWQTXY
H81.401		中枢性眩晕	ZSXXY
H81.402		中枢性眼球震颤	ZXXYQZC
H81.901		前庭功能低下	QTGNDX
H81.902		前庭功能障碍	QTGNZA
H81.903		前庭系统病变	QTXTBB
H81.904		眩晕综合征	XYZHZ
H83.001		迷路炎	MLY
H83.002		迷路周围炎	MLZWY
H83.101		半规管瘘	BGGL
H83.102		迷路瘘	MLL
H83.201		半规管轻瘫	BGGQT
H83.301		爆炸性耳聋	BZXEL
H83.801		迷路出血	MLCX
H83.802		自发性圆窗膜破裂	ZFXYCMPL
H83.901		内听道肿物	NTDZW
H90.201		传导性耳聋	CDXEL
H90.501		感觉神经性耳聋	GJSJXEL
H90.801		混合性聋(传导性和感觉神经性聋)	HHXL
H91.001		药物性聋	YWXL
H91.002		中毒性耳聋	ZDXEL
H91.201		突发性耳聋	TFXEL
H91.301		聋哑症	LYZ
H91.801		创伤性聋	CSXL
H91.901		耳聋	EL
H91.902		听觉问题	TJWT
H91.903		听力减退	TLJT
H92.001		耳神经痛	ESJT
H92.002		耳痛	ET
H93.001		短暂性缺血性聋	DZXQXXL
H93.002		血管性耳鸣	XGXEM
M31.601		巨细胞动脉炎(颞动脉炎)	JXBDMY
M32.101+	G05.801*	狼疮性脑炎	LCXNY
M32.102+	I32.801*	狼疮性心包炎	LCXXBY
M32.103+	I41.801*	狼疮性心肌病	LCXXJB
M32.104+	J99.101*	狼疮性肺炎	LCXFY
M32.105+	N08.501*	狼疮性肾炎	LCXSY
M32.106+	I39.803*	利-萨二氏病(非典型疣状心内膜炎)	LSESB
M32.107+	J99.102*	狼疮性肺病变	LCXFBB
M32.108+	G63.501*	狼疮性神经炎	LCXSJY
M32.109+	G99.202*	狼疮性脊髓病变	LCXJSBB
M32.110+	G63.502*	狼疮性周围神经病	LCXZWSJB
M32.111+	K67.801*	狼疮性桨膜炎	LCXJMY
M32.112+		狼疮性胃肠道血管炎	LCXWCDXGY
M32.113+		狼疮性肝炎	LCXGY
M32.114+		狼疮性血液系统损害	LCXXYXTSH
M32.901		系统性红斑狼疮	XTXHBLC
M33.101		皮肌炎	PJY
M33.102+	G63.503*	皮肌炎性周围神经病	PJYXZWSJB
M33.201		多肌炎	DJY
M33.202+	J99.103*	多肌炎伴肺间质纤维化	DJYBFJZXWH
M33.203+	J99.103*	抗合成酶抗体综合征伴肺间质纤维化	KHCMKTZHZBFJ
M34.801+	J99.104*	全身性硬皮病性肺病变	QSXYPBXFBB
M34.901		全身性硬皮病	QSXYPB
M34.902		硬皮病	YPB
M35.001		干燥综合征(斯耶格伦氏综合征)	GZZHZ
M35.002		继发性干燥综合征	JFXGZZHZ
M35.003+	H19.301*	干燥性角膜结膜炎	GZXJMJMY
M35.004+	J99.105*	干燥综合征累及肺	GZZHZLJF
M35.005+	J99.106*	干燥综合征性肺病变	GZZHZXFBB
M35.006+	G73.702*	干燥综合征性肌病	GZZHZXJB
M35.101		重叠结缔组织病	CDJDZZB
M35.201		贝赫切特综合征	BHQTZHZ
M35.301		风湿性多肌痛	FSXDJT
M35.901		结缔组织病	JDZZB
M35.902+	G63.504*	胶原病性神经炎	JYBXSJY
M35.903		自体免疫病	ZTMYB
M35.904		系统性硬化症（结缔组织病）	XTXYHZJDZZB
M40.091		青年期姿势性脊柱后凸	QNQZSXJZHT
M40.291		后天性脊柱后凸	HTXJZHT
M40.591		脊柱前凸	JZQT
M41.291		特发性脊柱侧凸(弯)	TFXJZCT
M41.491		脊髓灰质炎后脊柱侧凸(弯)	JSHZYHJZCT
M41.991		脊柱后侧凸	JZHCT
M41.992		脊柱侧凸(弯)	JZCT
M42.091		绍伊尔曼氏病(幼年型脊柱骨软骨炎)	SYEMSB
M43.191		后天性脊椎滑脱	HTXJZHT
M43.621		斜颈	XJ
M43.622		肌原性斜颈	JYXXJ
M43.991		后天性脊柱变形	HTXJZBX
M45.991		强直性脊柱炎	QZXJZY
M46.181		骶髂关节炎	DQGJY
M46.541		胸椎感染	XZGR
M46.891		肥大性脊柱炎	FDXJZY
M46.892		化脓性脊柱炎	HNXJZY
M46.991		脊柱炎	JZY
M47.221+	G55.201*	脊髓型颈椎病	JSXJZB
M47.241+	G55.202*	胸椎关节强硬伴脊髓病	XZGJQYBJSB
M47.821		颈椎关节强硬	JZGJQY
M47.841		胸椎关节强硬	XZGJQY
M47.871		腰骶关节强硬	YDGJQY
M25.891		关节肿胀	GJZZ
M25.892		关节周围骨化	GJZWGH
M25.991		关节病	GJB
M25.992		关节肿物	GJZW
M30.001		结节性多动脉炎(全动脉炎)(坏死性血管	JJXDDMY
M30.002		全动脉炎	QDMY
M30.101		变应性肉芽肿性血管炎	BYXRYZXXGY
M48.821		颈后纵韧带钙化	JHZRDGH
M48.891		后纵韧带骨化	HZRDGH
M48.901		颈椎病	JZB
M50.001+	G99.203*	颈椎间盘突出伴脊髓病	JZJPTCBJSB
M50.201		颈椎间盘脱出	JZJPTC
M50.301		颈椎间盘变性	JZJPBX
M50.801		颈椎病伴颈背区肌肉劳损	JZBBJBQJRLS
M51.001+	G99.203*	椎间盘脱出伴脊髓病	ZJPTCBJSB
M51.201		胸椎间盘脱出	XZJPTC
M51.202		腰椎间盘脱出	YZJPTC
M51.203		腰骶椎间盘脱出	YDZJPTC
M51.301		腰骶椎间盘变性	YDZJPBX
M51.302		椎间盘变性	ZJPBX
M51.303		腰椎间盘突出	YZJPTC
M51.901		椎间盘疾患	ZJPJH
M53.201		脊柱不稳定（脊椎关节紊乱）	JZBWDJZGJWL
M53.381		尾部疼痛	WBTT
M53.891		脊柱强直	JZQZ
M54.121		颈神经根病	JSJGB
M54.122		臂丛神经根炎	BCSJGY
M54.123		颈神经根炎	JSJGY
M54.141		胸神经炎	XSJY
M54.171		腰骶神经根病	YDSJGB
M54.191		神经根病	SJGB
M54.192		神经根炎	SJGY
M54.221		颈痛	JT
M54.381		坐骨神经痛	ZGSJT
M54.551		腰背痛	YBT
M54.561		腰肌劳损	YJLS
M54.562		腰痛	YT
M54.563		第三横突综合征	DSHTZHZ
M60.081		腰大肌脓肿	YDJNZ
M60.091		感染性肌炎	GRXJY
M60.191		间质性肌炎	JZXJY
M60.291		异物性肉芽肿	YWXRYZ
M60.891		坏死性肌炎	HSXJY
M60.991		肌筋膜炎	JJMY
M60.992		肌炎	JY
M61.591		骨化性肌炎	GHXJY
M62.481		下肢肌挛缩	XZJLS
M62.482		臀肌挛缩	TJLS
M62.483		上肢肌挛缩	SZJLS
M62.491		肌挛缩	JLS
M62.581		单侧肢体肌萎缩	DCZTJWS
M62.601		肌肉劳损	JRLS
M62.861		腓骨长肌滑脱	FGCJHT
M62.862		腓肠肌肥大	FCJFD
M62.891		肌疝	JS
M62.892		肌纤维变性	JXWBX
M62.893		肌肉瘢痕	JRBH
M62.894		肌肉肉芽肿	JRRYZ
M62.895		肌间隙综合征	JJXZHZ
M62.896		肌肉脂肪浸润	JRZFJR
M62.897		肌强直	JQZ
M62.991		肌肉肿物	JRZW
M65.391		扳机状指	BJZZ
M65.891		肌腱钙化	JJGH
M65.892		粘连性肌腱炎	ZLXJJY
M65.951		髋滑膜炎	KHMY
M65.961		膝滑膜炎	XHMY
M65.991		滑膜炎	HMY
M65.992		腱鞘炎	JQY
M66.591		非创伤性肌腱断裂	FCSXJJDL
M67.001		跟腱挛缩	GJLS
M67.101		肌腱挛缩	JJLS
M67.201		滑膜肥大	HMFD
M67.401		腱鞘囊肿	JQNZ
M70.501		膝滑囊炎	XHNY
M70.502		膝假性滑囊炎	XJXHNY
M70.503		鹅趾囊炎	EZNY
M71.261		腘窝囊肿	MWNZ
M71.321		肘窝囊肿	ZWNZ
M47.991		变形性脊柱炎	BXXJZY
M47.992		脊柱骨关节病	JZGGJB
M48.021		颈椎管狭窄	JZGXZ
M48.041		胸椎管狭窄	XZGXZ
M48.061		腰椎管狭窄	YZGXZ
M48.091		椎管狭窄	ZGXZ
M71.391		滑膜囊肿	HMNZ
M71.392		滑囊囊肿	HNNZ
M71.991		滑囊炎	HNY
M72.041		掌筋膜挛缩症	ZJMLSZ
M72.101		指节垫	ZJD
M72.102		指节瘤样增生错构瘤	ZJLYZSCGL
M72.391		结节性筋膜炎	JJXJMY
M72.591		筋膜炎	JMY
M72.592		硬化性筋膜炎	YHXJMY
M72.801		瘤样增生错构瘤	LYZSCGL
M72.991		纤维瘤病	XWLB
M75.011		肩关节周围炎	JGJZWY
M75.101		肩冈上肌腱炎	JGSJJY
M76.201		髂胫束挛缩	QJSLS
M76.671		跟腱滑囊炎	GJHNY
M77.121		网球肘	WQZ
M77.231		腕关节周围炎	WGJZWY
M77.991		肌腱端病	JJDB
M79.011		肩部纤维织炎	JBXWZY
M79.091		风湿病	FSB
M79.391		结节性非化脓性脂膜炎	JJXFHNXZMY
M79.392		脂膜炎	ZMY
M79.591		软组织残留异物	RZZCLYW
M79.681		肢体疼痛	ZTTT
M79.871		足拇指囊肿	ZMZNZ
M79.881		肢体肿胀	ZTZZ
M79.891		脂肪疝	ZFS
M79.892		脂肪坏死	ZFHS
M79.893		脂肪萎缩	ZFWS
M79.981		肢体肿物	ZTZW
M80.901		骨质疏松,伴有病理性骨折	GZSSBYBLXGZ
N00.501		急性系膜增殖性肾小球肾炎	JXXMZZXSXQSY
N00.801		急性肾炎伴坏死性肾小球肾炎损害	JXSYBHSXSXQSYS
N00.802		急性增殖性肾小球肾炎	JXZZXSXQSY
N00.901		急性肾小球肾炎	JXSXQSY
N00.902		急性肾炎	JXSY
N00.903		急性肾炎综合征	JXSYZHZ
N00.904		链球菌感染后急性肾小球肾炎	LQJGRHJXCXQSY
N01.905		急进型肾小球肾炎	JJXSXQSY
N02.801		IGA肾病	IGASB
N03.201		慢性膜性肾小球肾炎	MXMXSXQSY
N03.301		慢性(弥漫性)系膜增殖性肾小球肾炎	MXMMXXMZZXSXQS
N03.501		慢性膜性增殖性肾小球肾炎	MXMXZZXSXQSY
N03.502		慢性膜性增殖性肾炎	MXMXZZXSY
N03.503		慢性肾小球膜毛细血管性肾小球肾炎	MXSXQMMXXGXSXQ
N03.801		慢性(弥漫性)增殖性肾小球肾炎	MXZZXSXQSYQSY
N03.802		慢性肾小球肾炎伴硬化性肾炎	MXSXQSYBYHXSY
N03.901		慢性肾小球肾炎	MXSXQSY
N03.902		慢性肾小球肾炎、急性发作	MXSXQSYJXFZ
N03.903		慢性肾炎	MXSY
N03.904		隐匿型肾小球肾炎	YNXSXQSY
N03.905		隐匿性肾炎	YNXSY
N04.101		肾病综合征伴局灶硬化性肾小球肾炎	SBZHZBJZYHXSXQ
N04.201		肾病综合征伴膜性肾小球肾炎	SBZHZBMXSXQSY
N04.202		肾病型慢性膜性肾小球肾炎	SBXMXMXSXQSY
N04.301		肾病综合征伴膜性增殖性肾小球肾炎	SBZHZBMXZZXSXQ
N04.401		肾病综合征伴有毛细血管增殖性肾炎	SBZHZBYMXXGZZX
N04.801		肾病综合征伴增殖性肾小球肾炎	SBZHZBZZXSXQSY
N04.901		肾变病	SBB
N04.902		肾病型肾炎	SYXSY
N04.903		肾病综合征	SBZHZ
N05.001		肾小球肾炎	SXQSY
N05.002		肾炎	SY
N05.101		局灶性节段性增殖性肾小球肾炎	JZXJDXZZXSXQSY
N05.102		局灶性肾炎	JZXSY
N05.103		局灶硬化性肾小球肾炎	JZYHXSXQSY
N05.201		膜性肾病	MXSB
N05.202		膜性肾小球肾病	MXSXQSB
N05.301		系膜增殖性肾小球肾炎	XMZZXSXQSY
N05.501		膜性增殖性肾小球肾炎	MXZZXSXQSY
N05.502		膜性增殖性肾炎	MXZZXSY
N05.801		IgM肾病	IGMSB
N05.802		增殖性肾小球肾炎	ZZXSXQSY
N05.901		肾小球肾病	SXQSB
N05.902		肾炎(肾小球肾炎)	SYSXQSY
N05.903		血管炎性肾小球肾炎	XGYXSXQSY
N05.904		药物性肾炎	YWXSY
N07.901		遗传性肾炎	YCXSY
N10  01		急性肾盂肾炎	JXSYSY
N11.901		慢性肾盂肾炎	MXSYSY
N11.902		慢性间质性肾炎	MXJZXSY
N11.903		黄色肉芽肿性肾盂肾炎	HSRYZXSYSY
N12  01		间质性肾炎	JZXSY
N12  02		肾小管病变	SXGBB
N12  03		肾盂肾炎	SYSY
N12  04		肾盂炎	SYY
N12  05		感染性肾炎	SYXSY
N13.001		肾盂积水伴有输尿管肾盂连接处阻塞	SYJSBYSNGSYL
N13.101		肾盂积水伴有输尿管狭窄	SYJSBYSNGXZ
N13.201		肾盂积水伴有肾和输尿管结石梗阻	SYJSBYSHSNGJ
N13.301		肾孟积水	SMJS
N13.401		输尿管积水	SNGJS
M79.092		关节风湿病	GJFSB
M79.093		纤维结缔组织炎	XWJDZZY
M79.094		风湿性肌痛症	FSXJTZ
M79.095		纤维织炎	XWZY
M79.096		软组织风湿	RZZFS
M79.097		纤维肌痛综合征	XWJTZHZ
M79.191		肌痛	JT
M79.291		神经痛	SJT
M79.292		神经炎	SJY
K26.702		慢性十二指肠球部溃疡	MXSEZCQBKY
K26.901		十二指肠溃疡	SEZCKY
K26.902		十二指肠球部溃疡	SEZCQBKY
K27.101		上消化道穿孔	SXHDCK
K27.102		消化性溃疡伴急性穿孔	XHXKYBJXCK
K27.401		多发性溃疡伴出血	DFXKYBCX
K27.402		胃十二指肠溃疡伴出血	WSEZCKYBCX
K27.403		应激性溃疡伴出血	YJXKYBCX
K27.404		应激性消化道出血	YJXXHDCX
K27.501		溃疡病穿孔	KYBCK
K27.502		胃十二指肠溃疡伴穿孔	WSEZCKYBCK
K27.503		消化道穿孔	XHDCK
K27.504		应激性溃疡伴穿孔	YJXKYBCK
K27.901		多发性复合性溃疡病	DFXFHXKYB
K27.902		复合性溃疡	FHXKY
K27.903		胃十二指肠溃疡	WSEZCKY
K27.904		消化性溃疡	XHXKY
K27.905		应激性溃疡	YJXKY
K28.401		胃肠吻合口溃疡出血	WCWHKKYCX
K28.501		胃肠吻合口溃疡穿孔	WCWHKKYCK
K28.701		慢性胃吻合口炎	MXWWHKY
K28.901		食管空肠吻合口炎	SGKCWHKY
K28.902		胃肠吻合口溃疡	WCWHKKY
K29.001		急性出血性胃炎	JXCXXWY
K29.101		急性胃炎	JXWY
K29.301		慢性红斑性胃(窦)炎	MXHBXWY
K29.302		慢性浅表性胃窦炎	MXQBXWDY
K29.303		慢性浅表性胃炎	MXQBXWY
K29.304		慢性浅表性疣状胃炎	MXQBXYZWY
K29.305		浅表性胃炎	QBXWY
K29.306		慢性浅表性胃炎伴糜烂	MXQBXWYBML
K29.401		慢性萎缩性胃炎	MXWSXWY
K29.402		萎缩性胃炎	WSXWY
K29.501		慢性胃窦炎	MXWDY
K29.502		慢性胃炎	MXWY
K29.601		肥厚性胃炎	FHXWY
K29.602		门内特里尔氏病(胃巨皱襞症)	MNTLESB
K29.603		糜烂性胃炎	MLXWY
K29.604		胃粘膜肥厚	WNMFH
K29.605		药物性胃炎	YWXWY
K29.701		反流性胃炎	FLXWY
K29.702		胃窦炎	WDY
K29.703		胃炎	WY
K29.704		胃炎性假瘤	WYXJL
K29.705		应激性胃炎	YJXWY
K29.706		幽门炎	YMY
K29.707		疣状胃(胃窦)炎	YZWY
K29.801		十二指肠球炎	SEZCQY
K29.802		十二指肠炎	SEZCY
K29.901		胃十二指肠炎	WSEZCY
K61.001		肛门旁皮下脓肿	GMPPXNZ
K61.002		肛周脓肿	GZNZ
K61.101		直肠脓肿	ZCNZ
K61.301		坐骨直肠脓肿	ZGZCNZ
K62.001		肛门息肉	GMXR
K62.101		直肠息肉	ZCXR
K62.201		肛门脱垂(脱肛)	GMTC
K62.301		直肠粘膜脱垂	ZCNMTC
K62.302		直肠脱垂	ZCTC
K62.401		肛门狭窄	GMXZ
K62.402		直肠狭窄	ZCXZ
K62.501		直场出血	ZCCX
K62.601		肛周溃疡	GZKY
K62.602		直肠溃疡	ZCKY
K62.801		出血性直肠炎	CXXZCY
K62.802		肛管囊肿	GGNZ
K62.803		肛管炎	GGY
K62.804		肛门囊肿	GMNZ
K62.805		肛周感染	GZGR
K62.806		肛乳头肥大	GRTFD
K62.807		巨直肠	JZC
K62.808		慢性肛管直肠炎	MXGGZCY
K62.809		慢性直肠炎	MXZCY
K62.810		直肠穿孔	ZCCK
K62.811		直肠囊肿	ZCNZ
K62.812		直肠前突	ZCQT
K62.813		直肠肉芽肿	ZCRYZ
K62.814		直肠吻合口瘢痕	ZCWHKBH
K62.815		直肠炎	ZCY
K62.901		肛旁肿物	GPZW
K62.902		直肠肿物	ZCZW
K63.001		肠脓肿	CNZ
K63.101		肠穿孔	CCK
K63.102		肠破裂	CPL
K63.103		结肠穿孔	JCCK
K63.104		小肠穿孔	XCCK
K63.201		手术后大肠瘘	SSHDCL
K63.202		手术后小肠瘘	SSHXCL
K63.203		肠瘘	CL
K63.204		腹壁肠瘘	FBCL
K63.205		腹壁瘘管	FBLG
K63.206		结肠瘘	JCL
K63.207		结肠胸腔瘘	JCXQL
K63.208		盲肠腹壁瘘	MCFBL
K63.209		盲管瘘	MGL
K63.210		盆腔腹壁瘘	PQFBL
K63.211		手术后肠腹壁瘘	SSHCFBL
K63.212		手术后肠瘘	SSHCL
K63.301		结肠溃疡	JCKY
K63.302		盲肠溃疡	MCKY
K63.303		小肠溃疡	XCKY
K63.401		回肠粘膜脱垂	HCNMTC
K63.402		结肠下垂	JCXC
K63.403		内脏下垂	NZXC
K63.501		结肠息肉	JCXR
K63.801		结肠积气	JCJQ
K63.802		肠息肉	CXR
K63.803		结肠脂肪垂	JCZFC
K63.804		肠炎性包块	CYXBK
K63.805		盲肠息肉	MCXR
K63.806		结肠黑变病	JCHBB
K58.901		过敏性结肠(痉挛性结肠炎,粘液性结肠炎)	GMXJC
K58.902		肠痉挛	CJL
K58.903		痉挛性结肠	JLXJC
K58.904		肠易激综合征	CYJZHZ
K59.001		便秘	BB
K59.002		粪便潴留	FBZL
K63.807		小肠肉芽肿	XCRYZ
K63.808		小肠息肉	XCXR
K63.809		结肠肉芽肿	JCRYZ
K63.810		结肠囊肿	JCNZ
K63.901		结肠肿物	JCZW
K65.001		肠系膜脓肿	CXMNZ
K65.002		腹膜脓肿	FMNZ
K65.003		腹腔脓肿	FQNZ
K65.004		膈下脓肿	GXNZ
K65.005		化脓性腹膜炎	HNXFMY
K65.006		急性腹膜炎	JXFMY
K65.007		急性化脓性弥漫性腹膜炎	JXHNXMMXFM
K65.008		急性弥漫性腹膜炎	JXMMXFMY
K65.009		弥漫性腹膜炎	MMXFMY
K65.010		男性盆腔脓肿	NXPQNZ
K65.011		男性盆腔炎	NXPQY
K65.012		男性盆腔炎性包块	NXPQYXBK
K65.013		细菌性腹膜炎	XJXFMY
K65.801		肠系膜炎	CXMY
K65.802		出血性腹膜炎	CXXFMY
K65.803		穿孔性腹膜炎	CKXFMY
K65.903		腹腔感染	FQGR
K65.904		继发性腹膜炎	JFXFMY
K65.905		原发性腹膜炎	YFXFMY
K66.001		肠系膜粘连	CXMZL
K66.002		肠粘连	CZL
K66.003		大网膜粘连	DWMZL
K66.004		腹膜粘连	FMZL
K66.005		腹腔粘连	FQZL
K66.006		膈肌粘连	GJZL
K66.101		腹膜后血肿	FMHXZ
K66.102		腹腔积血	FQJX
K66.801		肠系膜钙化	CXMGH
K66.802		肠系膜囊肿	CXMNZ
K66.803		骶前囊肿	DQNZ
K66.804		腹膜后囊肿	FMHNZ
K66.805		网膜囊肿	WMNZ
K66.806		腹膜囊肿	FMNZ
K66.807		腹壁肉芽肿	FBRYZ
K66.901		腹膜后肿物	FMHZW
K70.101		酒精性肝炎	JJXGY
K70.301		酒精性肝硬化	JJXGYH
K70.901		酒精性肝损坏	JJXGSH
S85.101		胫后动脉损伤	JHDMSS
S85.102		创伤性胫前动脉损伤	CSXJQDMSS
S85.501		创伤性掴静脉损伤	CSXGJMSS
S85.801		创伤性胫后动静脉损伤	CSXJHDJMSS
S86.001		跟腱断裂	GJDL
S86.301		腓侧肌损伤	FCJSS
S86.901		小腿肌断裂	XTJDL
S86.902		小腿开放性外伤累及肌腱	XTKFXWSLJJJ
S87.801		小腿挤压伤	XTJYS
S88.001		膝以下创伤性截断,单侧	XYXCSXJDDC
S89.901		小腿损伤	XTSS
S90.001		踝挫伤	HCS
S90.301		足挫伤	ZCS
S91.001		踝开放性外伤	HKFXWS
S91.101		趾开放性外伤	ZKFXWS
S91.301		足部裂伤	ZBLS
S91.302		足开放性外伤	ZKFXWS
S92.001		跟骨骨折	GGGZ
S92.011		跟骨开放性骨折	GGKFXGZ
S92.101		距骨骨折	JGGZ
S92.102		距骨颈骨折	JGJGZ
S92.103		距骨体骨折	JGTGZ
S92.201		骰骨骨折	GGGZ
S92.202		楔状骨骨折(足)	XZGGZZ
S92.203		足舟状骨骨折	ZZZGGZ
S92.211		足舟状骨开放性骨折	ZZZGKFXGZ
S92.212		楔状骨开放性骨折(足)	XZGKFXGZZ
S92.301		跖骨骨折	ZGGZ
S92.311		跖骨开放性骨折	ZGKFXGZ
S92.401		拇趾骨折	MZGZ
S92.411		拇趾开放性骨折	MZKFXGZ
S92.501		趾骨骨折	ZGGZ
S92.511		趾骨开放性骨折	ZGKFXGZ
S92.701		足多发性骨折	ZDFXGZ
S92.711		足多发性开放性骨折	ZDFXKFXGZ
S93.001		踝关节半脱位	HGJBTW
